Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link0,0.0187322287468848,-6.56268388412889E-05,-0.00183270076678829,0,0,0,1.65199774001772,0.00540779041066965,-1.72431674672113E-07,-8.16857492341042E-08,0.0050429459667963,-0.000338002907863305,0.00334480903849763,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/Link0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/Link0.STL,,JOINT_I_1_1.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,0.0151275877640529,0.0579204989758781,2.29070547088858E-06,0,0,0,0.768987424503121,0.000943620166744112,-0.000157292469488381,2.16151675811599E-07,0.00109494955205421,-2.22385109435551E-07,0.00140822543505756,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/Link1.STL,,JOINT_II_1.STEP-1,Origin_Joint1,Axis_Joint1,Joint1,revolute,0.018734,0.0081421,0.10801,1.5708,0,0.53457,Link0,0,1,0,87,0.5,-3.14,3.14,,,,,,,,
Link2,0.0319552717724408,0.114689324870806,-2.34165415988197E-07,0,0,0,1.07641455840455,0.00746471638775654,0.000698716686025042,2.91962998048845E-10,0.00101418449701484,2.23314209243965E-08,0.00762585101007418,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/Link2.STL,,JOINT_III_1.STEP-1,Origin_Joint2,Axis_Joint2,Joint2,revolute,0.070815,0.070003,0,0.29308,0,0,Link1,1,0,0,87,0.5,-3.14,3.14,,,10,,,,,
Link3,-0.0684079283974973,-0.0374546242809208,-0.000573223448648075,0,0,0,0.765154206506972,0.00178431293310252,-9.39620212904799E-05,4.18851807630257E-06,0.000627171541037176,-6.64756261159853E-05,0.00183655460550802,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/Link3.STL,,JOINT_IV_1_1.STEP-1;LOGO_RUBBER_CAP_1__1_1.STEP-1,Origin_Joint3,Axis_Joint3,Joint3,revolute,0,0.2,0,-1.9166,0,0,Link2,1,0,0,87,0.5,-3.14,3.14,,,10,,,,,
Link4,0.0251920450883915,-6.67161865766652E-07,-0.0963887898740919,0,0,0,1.19946345498765,0.00242244328367107,-2.35680673096731E-08,0.000758522353835606,0.00315207302827081,3.85905844182044E-09,0.0017276308082087,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/Link4.STL,,JOINT_V_1_1_ASM.STEP-1,Origin_Joint4,Axis_Joint4,Joint4,revolute,-0.070515,-0.087,-0.03632,0,0,0.86979,Link3,0,0,1,87,0.5,-3.14,3.14,,,10,,,,,
Link5,0.00343403155541079,-2.36616388929467E-06,-0.00164486461105556,0,0,0,0.407437629747687,0.000358679363012641,-9.48497692082498E-09,-6.27720628913371E-06,0.000380453387598683,9.95827271113768E-09,0.000334587682435985,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/Link5.STL,,JOINT_VI_1_1.STEP-1,Origin_Joint5,Axis_Joint5,Joint5,revolute,0,0,-0.19079,-0.66694,0,0,Link4,1,0,0,12,1,-3.14,3.14,,,10,,,,,
Link6,0.000274183128530059,0.000417792805571776,-0.052115923574328,0,0,0,0.0844259193061574,3.65815393489732E-05,-2.96693328041663E-08,3.6264522907487E-08,3.63144343347604E-05,-6.16831241202295E-08,6.56235022074534E-05,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/Link6.STL,,HEADTOOL_1.STEP-1,Origin_Joint6,Axis_Joint6,Joint6,revolute,0,0,0,0,0,-1.2778,Link5,0,0,1,12,1,-3.14,3.14,,,10,,,,,
Link_hand,-0.00577010131192066,-6.6336772686082E-07,-0.00204494270410499,0,0,0,0.0615360469944411,3.70361303346528E-05,4.66409878559863E-09,-2.12198750977721E-07,6.46528304039921E-05,6.05357565832722E-11,7.92466350125761E-05,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/Link_hand.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/Link_hand.STL,,装配体33^LiteParallelGriper-1/TipCover.step-1;装配体33^LiteParallelGriper-1/ToArm.step-1;装配体33^LiteParallelGriper-1/SCS3045MBase.step-1,Origin_Jointhand,,Jointhand,fixed,-0.0057852,-0.00043744,-0.115,-3.1416,0,-2.9883,Link6,0,0,0,0,0,0,,,,,,,,,
F1,3.88578058618805E-16,-0.0363190407693235,-0.0253893461314669,0,0,0,0.0353073426547682,1.04657503943408E-05,-8.99972506457694E-22,-8.470329472543E-22,1.04221536500833E-06,7.07521891798716E-07,1.0957633530281E-05,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/F1.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/F1.STL,,claw_50mm.step-2,Origin_Joint_f1,Axis_Joint_f1,Joint_f1,prismatic,0.014764,2.8968E-05,0.024562,-1.5708,0,1.5708,Link_hand,0,0,1,200,0.1,0,0.04,,,10,0,,,,
F1point,8.32667268468867E-16,3.60822483003176E-16,0.000999999999993673,0,0,0,0.00013,3.14166666666666E-10,4.9113848870336E-25,-4.48325429655205E-25,1.12666666666667E-09,8.78879400837592E-25,1.35416666666667E-09,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/F1point.STL,0.498039215686275,0.498039215686275,0.498039215686275,1,0,0,0,0,0,0,package://LiteParallelGriper11/meshes/F1point.STL,,fingertip-2,Origin_f1_pjoint,,f1_pjoint,fixed,0,-0.053,-0.022236,3.1416,0,1.5708,F1,0,0,0,,,,,,,,,,,,
